,n,Insertion Sort,Merge Sort,Quick Sort
,355,2741,1597,1463
,360,2807,1629,1424
,365,3043,1656,1479
,370,2991,1679,1512
,375,3130,1701,1475
,380,2965,1724,1457
,385,3227,1756,1618
,390,3176,1785,1594
,395,3279,1801,1724
,400,3577,1829,1712
,405,3336,1858,1612
,410,3777,1894,1714
,415,3709,1897,1739
,420,3750,1949,1774
,425,3759,2065,1722
,430,4010,2142,1794
,435,4128,2065,1934
,440,3915,2124,1804
,445,4173,2085,1854
,450,4768,2228,1959
,455,4568,2266,1966
,460,4580,2170,1982
,465,4779,2208,2137
,470,4412,2210,2104
,475,4943,2269,1983
,480,4929,2251,2068
,485,4812,2274,1977
,490,5097,2289,2071
,495,5235,2346,2015
,500,5383,2418,2144
###############################################,,,,
,5,10.9999999998,15.0000000003,14.9999999994
,10,15.9999999996,26.0000000001,27.9999999995
,15,23.0000000006,42.9999999998,41.9999999997
,20,29.0000000005,59.0000000003,60.9999999996
,25,40.9999999995,76,77.0000000001
,30,49.0000000006,98.0000000004,97.9999999995
,35,60.9999999996,115,104
,40,71.0000000002,131.000000001,142
,45,79.9999999996,156,158
,50,98.9999999996,171,172
,55,111,192.999999999,204
,60,118,208,199
,65,140,232,222.999999999
,70,158,255,257
,75,173.999999999,273,268
,80,197,293.999999999,278
,85,216,316,284
,90,241,338,317.999999999
,95,256,356,359
,100,284.000000001,380,348
,105,306,400,378
,110,327,421.999999999,417.000000001
,115,379,450,414
,120,383.999999999,483,491.999999999
,125,424,499,436
,130,439,511,478.999999999
,135,468.000000001,538.000000001,538
,140,489.999999999,571,559
,145,458.999999999,582.000000001,570
,150,520,617,559
,155,627.000000001,644,603
,160,657,649.999999999,608
,165,661,675,640
,170,689,696,612
,175,730,713,629.999999999
,180,796,741,698
,185,859,808,751.999999999
,190,825,791,679.000000001
,195,865,818,761
,200,989,837,751
,205,947,859.999999999,782
,210,1034,880,814.999999999
,215,975,913,848
,220,1137,984,858
,225,1179,952,889
,230,1138,982,915
,235,1260,1000,947
,240,1259,1031,951
,245,1313,1051,969
,250,1483,1098,1045
,255,1489,1135,1076
,260,1401,1153,1038
,265,1630,1198,1216
,270,1572,1215,1114
,275,1826,1231,1117
,280,1688,1255,1195
,285,1960,1347,1307
,290,1786,1309,1248
,295,1931,1313,1216
,300,2069,1356,1372
,305,2070,1382,1329
,310,2184,1405,1237
,315,2256,1584,1380
,320,2153,1577,1319
,325,2296,1492,1557
,330,2372,1530,1404
,335,2348,1531,1430
,340,2666,1589,1499
,345,2543,1618,1605
,350,2813,1629,1461
,355,2771,1627,1572
,360,2965,1667,1490
,365,2930,1775,1663
,370,2912,1745,1644
,375,3183,1761,1674
,380,3121,1803,1617
,385,3279,1750,1604
,390,3162,1779,1587
,395,3522,1802,1576
,400,3589,1829,1644
,405,3469,1869,1679
,410,3609,1967,1729
,415,3522,1897,1766
,420,3715,1976,1833
,425,3716,1957,1740
,430,4007,2103,1804
,435,3954,2014,1768
,440,4276,2057,1869
,445,4119,2058,1810
,450,4182,2194,1965
,455,4183,2117,2127
,460,4444,2174,1887
,465,4528,2227,2000
,470,4552,2190,1982
,475,4840,2224,1949
,480,4773,2241,1966
,485,4553,2286,1967
,490,4864,2321,2076
,495,5141,2372,2159
,500,5382,2428,2186
###############################################,,,,
,5,11.9999999999,15.0000000003,15.9999999996
,10,15.0000000003,26.9999999993,28.0000000004
,15,21.0000000003,42.0000000005,52.0000000002
,20,30.9999999999,58.9999999994,77.0000000001
,25,42.0000000005,78.0000000002,84.0000000002
,30,51,96.9999999993,103
,35,59.9999999995,140,121
,40,71.0000000002,133,133
,45,89,172,148
,50,98.9999999996,181,186
,55,105,198,193
,60,127,210,205.999999999
,65,140,229.999999999,270
,70,172,260,253
,75,178.999999999,293,264
,80,201,306,267
,85,229,319,322
,90,224,338.999999999,320
,95,257,360,348
,100,269,381,399
,105,313,417,388
,110,317,432,387
,115,360,468,474
,120,393.000000001,484,439
,125,399.000000001,507,479
,130,449.000000001,534.999999999,533
,135,491.999999999,589,498
,140,518,616,546
,145,514.000000001,597,567
,150,572,632,587
,155,586,645,618.999999999
,160,643.999999999,660,615
,165,733,686,645
,170,667,707,677
,175,822,757,690
,180,819.000000001,750,724
,185,810,763,738
,190,888,833,800.000000001
,195,945,814,809
,200,971,868,869
,205,1046,904.999999999,884
,210,1035,896,870
,215,1068,909,802.999999999
,220,1157,931,849.000000001
,225,1175,968,913
,230,1217,980,853
,235,1287,1002,945
,240,1303,1028,951.000000001
,245,1387,1060,1063
,250,1411,1075,990
,255,1487,1131,1001
,260,1428,1130,1056
,265,1515,1152,1048
,270,1595,1192,1021
,275,1669,1202,1142
,280,1662,1274,1291
,285,1764,1327,1189
,290,1900,1286,1160
,295,1898,1334,1214
,300,1831,1325,1209
,305,2009,1348,1180
,310,2216,1380,1240
,315,2177,1400,1284
,320,2374,1427,1271
,325,2286,1456,1274
,330,2489,1482,1365
,335,2417,1498,1406
,340,2515,1525,1392
,345,2542,1609,1432
,350,2548,1576,1382
,355,2609,1603,1433
,360,2731,1625,1577
,365,2932,1653,1551
,370,2952,1742,1603
,375,3025,1705,1513
,380,3109,1739,1511
,385,3321,1764,1571
,390,3132,1787,1755
,395,3524,1920,1708
,400,3485,1833,1638
,405,3559,1859,1672
,410,3577,1880,1646
,415,3486,1924,1711
,420,3772,1941,1819
,425,3812,1967,1700
,430,3995,1978,1795
,435,3902,2008,1856
,440,4274,2035,1872
,445,4100,2058,1895
,450,4450,2089,1893
,455,4178,2124,1925
,460,4313,2147,1931
,465,4290,2180,1976
,470,4670,2219,2054
,475,4625,2210,2173
,480,4795,2250,2055
,485,4872,2294,2066
,490,4944,2294,2074
,495,5102,2332,2056
,500,5258,2354,2124
###############################################,,,,
,5,14.9999999994,15.0000000003,12.0000000008
,10,16.9999999997,27.9999999995,29.0000000005
,15,21.0000000003,43.9999999999,48.9999999997
,20,30.9999999999,60.0000000004,65.9999999995
,25,35.9999999997,77.0000000001,85.9999999996
,30,44.9999999992,99.0000000005,89.9999999993
,35,59.0000000003,113,112
,40,72.9999999995,133,136
,45,96.0000000001,152.000000001,147
,50,99.9999999998,171,181
,55,106,194,208
,60,139,207.000000001,195
,65,140,229,221
,70,166,254,257
,75,174,273,270
,80,190,291,274.999999999
,85,200,340,334
,90,235,339,311
,95,257,356,323
,100,280,380,377
,105,297,404,364
,110,332,426.999999999,445
,115,372,452,423.000000001
,120,378,466,466
,125,412,516,476
,130,466,522.999999999,531.000000001
,135,486,558,560
,140,531.000000001,566.999999999,541
,145,487.000000001,594,559
,150,585,614.000000001,578
,155,596.000000001,730,663
,160,662,675,748
,165,650,699,754.000000001
,170,685,712,634.000000001
,175,730,722,713
,180,776,777,700
,185,857.000000001,786.000000001,688.999999999
,190,907.000000001,800.999999999,809
,195,921,826.999999999,758
,200,984,843,792
,205,944,888,841
,210,1096,953,945.000000001
,215,1068,943,1020
,220,1162,944,874
,225,1157,974,975
,230,1237,1005,922.999999999
,235,1249,1045,967
,240,1397,1038,973
,245,1394,1053,951.000000001
,250,1338,1111,1053
,255,1481,1107,1008
,260,1501,1126,1045
,265,1587,1153,1047
,270,1458,1184,1086
,275,1762,1201,1029
,280,1752,1229,1201
,285,1791,1254,1260
,290,2104,1346,1194
,295,1931,1305,1242
,300,1969,1341,1333
,305,2006,1354,1171
,310,2114,1399,1230
,315,2154,1406,1229
,320,2375,1442,1376
,325,2283,1451,1272
,330,2422,1488,1313
,335,2509,1499,1367
,340,2527,1521,1398
,345,2535,1563,1426
,350,2691,1573,1538
,355,2713,1599,1477
,360,2738,1623,1583
,365,2786,1654,1505
,370,2891,1681,1766
,375,2962,1817,1519
,380,2909,1737,1483
,385,3009,1740,1579
,390,3242,1774,1515
,395,3611,1826,1604
,400,3503,1860,1613
,405,3289,1864,1664
,410,3477,1882,1629
,415,3544,1951,1853
,420,3855,1926,1778
,425,3938,1966,1774
,430,3897,1977,1750
,435,3876,2039,1795
,440,4259,2101,2003
,445,4317,2056,1808
,450,4112,2089,1982
,455,4219,2111,1878
,460,4536,2168,1938
,465,4597,2178,1983
,470,4583,2247,1987
,475,4780,2218,1955
,480,5065,2245,2016
,485,4731,2327,2182
,490,5039,2302,2100
,495,5134,2318,2092
,500,5120,2381,2116
###############################################,,,,
,5,10.9999999998,15.0000000003,15.9999999996
,10,16.0000000005,26.0000000001,37.0000000007
,15,21.0000000003,41.9999999997,42.9999999998
,20,29.9999999998,59.0000000003,61.9999999998
,25,38,77.0000000001,79.9999999996
,30,48.9999999997,93.9999999998,92.0000000004
,35,61.9999999998,113,107
,40,73.9999999997,138,133
,45,78.0000000002,152,154.999999999
,50,92.9999999997,172,175
,55,112,191,169
,60,131.000000001,214.000000001,222
,65,150.000000001,233.000000001,220
,70,166.999999999,253,283
,75,191,283,286
,80,202,298,258
,85,224.999999999,317,306
,90,257,336,320
,95,275,355.000000001,326
,100,265.000000001,389,352
,105,308,405,393
,110,312.999999999,515,403
,115,354,448,410
,120,426,481.000000001,435
,125,430.000000001,497.999999999,453
,130,446.999999999,531,470
,135,448,532,513
,140,503,563.000000001,569
,145,563,582,536
,150,574,610,589.000000001
,155,586,655,599.999999999
,160,672.000000001,656,621
,165,617,675,637
,170,687,699,646
,175,788,722.000000001,662
,180,789,747,747
,185,804,769.999999999,735.000000001
,190,884.999999999,784,736
,195,932,898,804
,200,922.999999999,836.000000001,787
,205,1006,888.000000001,813.999999999
,210,1092,921.000000001,899
,215,1001,935,885.999999999
,220,1130,947.999999999,883
,225,1157,984,882.000000001
,230,1259,990,969
,235,1301,1015,976.000000001
,240,1414,1114,951.000000001
,245,1347,1066,946.000000001
,250,1435,1094,984
,255,1435,1138,1109
,260,1519,1182,1079
,265,1585,1170,1045
,270,1677,1224,1126
,275,1775,1262,1135
,280,1831,1322,1206
,285,1892,1249,1196
,290,1841,1279,1185
,295,2028,1397,1264
,300,1988,1354,1245
,305,2099,1378,1338
,310,2282,1485,1376
,315,2169,1433,1502
,320,2263,1447,1264
,325,2275,1507,1346
,330,2495,1510,1408
,335,2470,1590,1439
,340,2559,1631,1393
,345,2617,1666,1425
,350,2688,1719,1658
,355,2805,1655,1587
,360,2773,1663,1466
,365,2854,1713,1597
,370,2867,1703,1670
,375,3239,1806,1588
,380,3124,1748,1681
,385,3378,1789,1675
,390,3367,1856,1701
,395,3435,1945,1624
,400,3445,1886,1740
,405,3318,1881,1743
,410,3631,1881,1696
,415,3677,1951,1715
,420,3765,2179,1812
,425,3785,1976,1867
,430,3916,1990,1789
,435,4140,2173,2033
,440,4114,2126,1939
,445,4130,2074,1840
,450,4099,2092,1948
,455,4264,2160,1935
,460,4495,2131,1939
,465,4641,2170,1838
,470,4855,2243,1973
,475,4854,2221,1910
,480,4656,2238,1993
,485,4945,2276,2481
,490,4934,2332,2108
,495,4953,2310,2120
,500,4878,2491,2105
###############################################,,,,
,5,11.9999999999,14.9999999994,16.0000000005
,10,15.9999999996,26.0000000001,27.9999999995
,15,21.9999999995,42.0000000005,42.9999999998
,20,27.9999999995,59.0000000003,57.9999999992
,25,36.9999999998,76,74.0000000006
,30,47.0000000004,94.0000000007,86.0000000005
,35,63.9999999992,112.000000001,114
,40,66.9999999996,132,129
,45,80.0000000005,152,154
,50,96.0000000001,177,162
,55,109.999999999,192,191
,60,136,210,211
,65,142,232,238
,70,166.999999999,252.000000001,258.000000001
,75,179,278.000000001,253.000000001
,80,207.000000001,317.999999999,292
,85,239.000000001,355,374
,90,247,356,322
,95,249,366,335
,100,310.000000001,385.000000001,382.999999999
,105,331,413,380
,110,323,469,499
,115,356,465,433.999999999
,120,410,474.000000001,455
,125,412,499,451
,130,470,520,479
,135,495,546,514
,140,464,572,565
,145,567,588,580.999999999
,150,608,648.999999999,603
,155,576,628,590
,160,617,673,646
,165,694,696,653
,170,680,704.000000001,693
,175,728,731,662.999999999
,180,801.999999999,790,749
,185,870,793,745
,190,876,812,753
,195,902,904,815
,200,917,849,751.999999999
,205,960,933,821.999999999
,210,936,883,788
,215,1093,919,848
,220,1116,974,869
,225,1252,972,865
,230,1322,1028,1075
,235,1235,1035,928
,240,1373,1064,972
,245,1382,1083,1121
,250,1402,1093,990
,255,1479,1118,1063
,260,1565,1168,1134
,265,1581,1182,1066
,270,1680,1264,1146
,275,1637,1239,1191
,280,1762,1277,1178
,285,1942,1344,1272
,290,1840,1304,1166
,295,1998,1366,1152
,300,2018,1339,1303
,305,2390,1392,1284
,310,2194,1419,1238
,315,2165,1480,1360
,320,2358,1462,1433
,325,2394,1461,1409
,330,2388,1579,1474
,335,2537,1542,1476
,340,2562,1561,1476
,345,2675,1623,1512
,350,2659,1623,1415
,355,2839,1624,1618
,360,2765,1715,1549
,365,2888,1744,1608
,370,3125,1734,1571
,375,3102,1777,1627
,380,3157,1819,1566
,385,3302,1896,1709
,390,3350,1840,1629
,395,3438,1855,1809
,400,3458,2033,1747
,405,3645,2059,1739
,410,3713,1885,1801
,415,3545,1930,1715
,420,3686,1977,1769
,425,3710,1957,1804
,430,4024,1979,1783
,435,3780,2025,2010
,440,4031,2044,1768
,445,4288,2065,1949
,450,4206,2087,1926
,455,4187,2167,2050
,460,4495,2145,1898
,465,4684,2177,1872
,470,4754,2198,1918
,475,4666,2286,2010
,480,4877,2232,1986
,485,5095,2266,1977
,490,4737,2436,2113
,495,5269,2421,2044
,500,5373,2394,2102
###############################################,,,,
,5,11.9999999999,15.0000000003,11.0000000006
,10,14.9999999994,27.0000000002,52.0000000002
,15,21.0000000003,41.9999999997,45.0000000001
,20,30.9999999999,59.9999999995,66.0000000003
,25,39.9999999994,77.0000000001,85.9999999996
,30,49.9999999999,92.9999999997,111
,35,55.9999999998,113,113
,40,72.0000000003,131,143
,45,84.0000000002,151.000000001,143
,50,92.9999999997,168,159
,55,118.000000001,190,198.999999999
,60,123,217,229
,65,163.000000001,237,232
,70,173,291,257
,75,185,279,278
,80,233.000000001,299,283
,85,222,335.000000001,303.000000001
,90,257,344.999999999,321
,95,248,367.000000001,344.999999999
,100,273,387,370
,105,308,416,401
,110,353,427,417
,115,373,452,497.999999999
,120,419,492,444
,125,453,505,464.999999999
,130,474.000000001,519,522.999999999
,135,469.000000001,550,536
,140,549,578,508
,145,526,586.999999999,546
,150,560,632,548
,155,602,640,582
,160,633,661,602
,165,683,686,703.000000001
,170,729,832,725
,175,757,727,689
,180,783,757,686
,185,807,791,726.999999999
,190,894.000000001,807,766
,195,900,820,753
,200,913,916,751.999999999
,205,973,857,775
,210,975,881,835
,215,1024,925,874
,220,1092,967.999999999,862.000000001
,225,1247,959.999999999,875.000000001
,230,1222,979,852.999999999
,235,1189,1004,1004
,240,1313,1018,979
,245,1391,1054,1039
,250,1449,1073,939
,255,1448,1099,975
,260,1625,1128,997
,265,1601,1192,1086
,270,1691,1181,1145
,275,1661,1204,1074
,280,1680,1227,1172
,285,1734,1335,1093
,290,1912,1299,1191
,295,1818,1303,1154
,300,1878,1360,1320
,305,2148,1362,1320
,310,2197,1525,1378
,315,2129,1400,1235
,320,2210,1417,1247
,325,2223,1446,1414
,330,2326,1516,1365
,335,2469,1518,1374
,340,2480,1528,1417
,345,2474,1734,1492
,350,2747,1636,1440
,355,2758,1663,1651
,360,2996,1672,1524
,365,3035,1799,1523
,370,2996,1735,1624
,375,3067,1770,1549
,380,3280,1835,1573
,385,3141,1770,1639
,390,3405,1858,1646
,395,3368,1840,1652
,400,3598,1944,1795
,405,3626,1880,1749
,410,3646,1888,1806
,415,3675,2015,1834
,420,4239,2037,1736
,425,3899,2006,1841
,430,4139,2038,1805
,435,4197,2030,1877
,440,4075,2081,1910
,445,4040,2072,1907
,450,4571,2126,1971
,455,4282,2132,1870
,460,4565,2142,1958
,465,4500,2167,1915
,470,5065,2188,1955
,475,4560,2287,2109
,480,4666,2243,2007
,485,4842,2263,2027
,490,4806,2330,2164
,495,5264,2335,2049
,500,5146,2357,2149
###############################################,,,,
,5,9.9999999996,14.0000000002,15.0000000003
,10,15.9999999996,27.0000000002,28.0000000004
,15,22.9999999997,42.0000000005,45.9999999993
,20,29.0000000005,58.9999999994,64.0000000001
,25,39.0000000001,76,73.0000000004
,30,42.9999999998,99.9999999998,87.9999999999
,35,58.0000000001,113.000000001,109.999999999
,40,70,134,127
,45,87.9999999999,156,152
,50,96.9999999993,171,173
,55,103,191,191.999999999
,60,132,209,198
,65,147,232,216.999999999
,70,157.000000001,256,247
,75,179,272.000000001,266.999999999
,80,211,293,280
,85,224,322,299
,90,236.999999999,352,340
,95,276,363.999999999,364
,100,280,379,363.999999999
,105,288,399.000000001,366
,110,332,430,402
,115,329.000000001,450,430
,120,387,469,442
,125,430.000000001,515.999999999,507
,130,439,511,469
,135,458,537,496
,140,516.999999999,564,487.000000001
,145,554,582,536
,150,580,610,586
,155,599,632,559
,160,634,649,616
,165,683,675,624
,170,674,697,725
,175,764,721,715
,180,765,770,725
,185,835,770,755
,190,897,799,834
,195,865,831,769
,200,1007,848,829
,205,992,935,824
,210,1033,894.000000001,794
,215,1070,913.000000001,889
,220,1132,950,867
,225,1241,961,864
,230,1176,980,890.999999999
,235,1180,1069,1019
,240,1312,1096,957
,245,1310,1071,1105
,250,1457,1098,1053
,255,1558,1212,1093
,260,1615,1166,1205
,265,1651,1159,1085
,270,1629,1189,1120
,275,1772,1262,1142
,280,1825,1240,1172
,285,1711,1257,1162
,290,1809,1289,1218
,295,1910,1305,1206
,300,2021,1325,1246
,305,1985,1396,1363
,310,2281,1381,1318
,315,2100,1410,1263
,320,2221,1425,1271
,325,2247,1450,1248
,330,2311,1468,1323
,335,2466,1540,1483
,340,2371,1591,1398
,345,2491,1575,1420
,350,2599,1574,1387
,355,2593,1606,1553
,360,2783,1634,1494
,365,2862,1659,1493
,370,2986,1683,1510
,375,2942,1707,1531
,380,3140,1720,1638
,385,3111,1797,1670
,390,3124,1786,1590
,395,3321,1805,1573
,400,3324,1832,1561
,405,3294,1854,1660
,410,3675,1875,1603
,415,3655,2022,1954
,420,3612,1942,1721
,425,3831,1997,1883
,430,3870,1984,1790
,435,3948,2009,1807
,440,4068,2029,1831
,445,4301,2140,1954
,450,4211,2149,1844
,455,4277,2128,1918
,460,4551,2131,1924
,465,4450,2226,1951
,470,4637,2188,1932
,475,4925,2218,1938
,480,4852,2241,1996
,485,4828,2273,2014
,490,4777,2303,2023
,495,5223,2331,2053
,500,5242,2408,2218
###############################################,,,,
,5,10.9999999998,15.0000000003,11.9999999999
,10,15.9999999996,27.0000000002,28.0000000004
,15,19.9999999992,43.0000000007,41.9999999997
,20,27.0000000002,59.9999999995,61.0000000005
,25,38,83.0000000001,78.0000000002
,30,46.0000000002,95,103
,35,58.0000000001,114,107
,40,71.0000000002,132,139
,45,85.0000000003,151,154.999999999
,50,93.9999999998,223,184
,55,114.000000001,190,194
,60,130,217,209
,65,137,232,221.000000001
,70,160.999999999,253,254
,75,184,277,256
,80,182,292,274
,85,200,316,312
,90,247,336,321
,95,262,370,357
,100,274,380,380
,105,301,401.999999999,393
,110,325.999999999,426,416
,115,353,449,468
,120,393,476,423
,125,401,491.999999999,447
,130,446,511,507.000000001
,135,486,533.000000001,566
,140,496,562,547
,145,553.999999999,585,567
,150,619,607,595
,155,600,627.000000001,585
,160,609,656,685
,165,669,680.999999999,643
,170,727,702,652
,175,734,728,681.999999999
,180,783,741,687
,185,841,764.999999999,692
,190,801,830.000000001,722.000000001
,195,1014,859,843.000000001
,200,957,838,830
,205,1048,860,773.000000001
,210,1088,884.999999999,810
,215,1091,1005,881.000000001
,220,1140,961,856
,225,1252,980,955
,230,1231,1014,916.999999999
,235,1357,1030,956
,240,1436,1065,1103
,245,1384,1081,1029
,250,1550,1107,1161
,255,1475,1234,1268
,260,1639,1168,1141
,265,1664,1221,1134
,270,1827,1225,1184
,275,1793,1210,1129
,280,1611,1245,1059
,285,1799,1255,1147
,290,1883,1277,1150
,295,1961,1344,1262
,300,2000,1332,1201
,305,1922,1398,1290
,310,2048,1381,1281
,315,2165,1414,1305
,320,2251,1426,1324
,325,2300,1513,1327
,330,2271,1483,1364
,335,2475,1506,1522
,340,2473,1525,1383
,345,2578,1555,1348
,350,2727,1582,1420
,355,2621,1609,1414
,360,2702,1625,1451
,365,2849,1716,1579
,370,2718,1680,1481
,375,3082,1723,1564
,380,3089,1728,1564
,385,2991,1754,1632
,390,3123,1814,1629
,395,3533,1798,1581
,400,3293,1932,1651
,405,3429,1867,1742
,410,3538,1878,1761
,415,3678,1904,1668
,420,3696,1989,1756
,425,3974,1989,1784
,430,3939,1978,1869
,435,3832,2014,1710
,440,3891,2063,1792
,445,4232,2124,1860
,450,4418,2090,1933
,455,4432,2112,1943
,460,4367,2148,1844
,465,4494,2196,1934
,470,4625,2196,1990
,475,4828,2254,1907
,480,4772,2237,2035
,485,4949,2277,2186
,490,5368,2400,2105
,495,5001,2321,2028
,500,5454,2347,2034
###############################################,,,,
,5,9.9999999996,14.0000000002,15.0000000003
,10,14.9999999994,26.0000000001,32
,15,21.0000000003,42.9999999998,48.9999999997
,20,28.0000000004,59.9999999995,55.9999999998
,25,36.9999999998,83.0000000001,85.0000000003
,30,47.9999999996,95,95
,35,54.9999999997,113.000000001,108
,40,70,133,140
,45,83.0000000001,152,159.999999999
,50,91.9999999995,171,193
,55,102,190,184
,60,129,210.999999999,215
,65,144,235,239
,70,154,253,243
,75,181,290.000000001,257
,80,194,297,328.000000001
,85,220,315,301
,90,240,340,337
,95,271,357,316
,100,274,387,349.999999999
,105,342,417.000000001,413
,110,330,431.000000001,389
,115,342,446.999999999,404
,120,377,473.000000001,433.000000001
,125,419.999999998,493.000000001,475
,130,453,513.999999999,475.999999999
,135,491,539.000000002,517
,140,510,563,504.000000001
,145,509.000000001,598,553.999999999
,150,540.999999998,605.999999999,554.999999999
,155,561.000000001,627,551.999999999
,160,624,651.999999999,569
,165,696,669,647.000000001
,170,704.000000001,701.999999999,667
,175,715,729,634.999999999
,180,848.999999999,772,693
,185,796.000000001,772,726.999999999
,190,870.000000001,799.000000001,729
,195,884.999999998,819,785
,200,931.000000001,890,853.999999999
,205,1049,863.000000001,804
,210,950,883,843.999999999
,215,1038,917.000000001,845.999999999
,220,1132,932.000000001,888
,225,1183,954.999999999,843
,230,1167,986.000000001,869.999999999
,235,1246,1075,1031
,240,1261,1050,985
,245,1411,1097,1238
,250,1351,1100,1033
,255,1497,1136,1028
,260,1585,1141,1068
,265,1606,1165,1050
,270,1641,1185,1126
,275,1691,1235,1097
,280,1706,1255,1120
,285,1786,1259,1103
,290,1790,1278,1146
,295,1916,1307,1275
,300,2057,1329,1181
,305,1960,1361,1255
,310,2171,1379,1225
,315,2171,1427,1300
,320,2259,1459,1405
,325,2314,1499,1343
,330,2510,1475,1474
,335,2494,1526,1487
,340,2586,1567,1405
,345,2564,1618,1364
,350,2722,1701,1464
,355,2655,1636,1419
,360,2753,1675,1607
,365,3016,1707,1562
,370,3170,1701,1536
,375,2972,1709,1529
,380,2983,1725,1670
,385,3204,1843,1721
,390,3470,1808,1568
,395,3352,1844,1665
,400,3548,1859,1697
,405,3441,1960,1747
,410,3783,1981,1887
,415,3566,1908,1695
,420,3751,1935,1739
,425,3907,2005,1737
,430,3963,1981,1861
,435,3868,2010,1856
,440,4045,2066,1887
,445,4427,2080,1919
,450,4099,2098,1864
,455,4342,2119,1922
,460,4382,2172,2033
,465,4656,2212,2028
,470,4480,2231,1980
,475,4831,2218,1960
,480,4905,2293,2041
,485,4908,2272,2026
,490,4814,2315,2019
,495,5231,2336,2142
,500,5073,2349,2114
